x_mm,y_mm,start_layer,stop_layer,drill_mm,land_mm,net,type
10.565000,46.121455,L6,L5,.100,.250,GND,RF_FENCE
10.565000,46.521454,L6,L5,.100,.250,GND,RF_FENCE
10.565000,46.921453,L6,L5,.100,.250,GND,RF_FENCE
8.626112,45.410928,L6,L5,.100,.250,GND,RF_FENCE
8.871963,45.726454,L6,L5,.100,.250,GND,RF_FENCE
8.935001,46.121455,L6,L5,.100,.250,GND,RF_FENCE
8.935001,46.521454,L6,L5,.100,.250,GND,RF_FENCE
8.935001,46.921453,L6,L5,.100,.250,GND,RF_FENCE
8.064998,46.175112,L6,L5,.100,.250,GND,RF_FENCE
8.065000,46.575111,L6,L5,.100,.250,GND,RF_FENCE
8.065000,46.975111,L6,L5,.100,.250,GND,RF_FENCE
9.665000,38.823999,L6,L5,.100,.250,GND,RF_FENCE
9.665000,38.424000,L6,L5,.100,.250,GND,RF_FENCE
9.665000,38.024001,L6,L5,.100,.250,GND,RF_FENCE
9.665000,37.624001,L6,L5,.100,.250,GND,RF_FENCE
9.665000,37.224002,L6,L5,.100,.250,GND,RF_FENCE
9.665000,36.824003,L6,L5,.100,.250,GND,RF_FENCE
9.665000,36.424004,L6,L5,.100,.250,GND,RF_FENCE
9.665000,36.024005,L6,L5,.100,.250,GND,RF_FENCE
9.665000,35.624005,L6,L5,.100,.250,GND,RF_FENCE
9.665000,35.224006,L6,L5,.100,.250,GND,RF_FENCE
9.444850,34.890039,L6,L5,.100,.250,GND,RF_FENCE
9.162009,34.607195,L6,L5,.100,.250,GND,RF_FENCE
8.879167,34.324354,L6,L5,.100,.250,GND,RF_FENCE
8.596325,34.041509,L6,L5,.100,.250,GND,RF_FENCE
8.313481,33.758668,L6,L5,.100,.250,GND,RF_FENCE
8.030639,33.475823,L6,L5,.100,.250,GND,RF_FENCE
7.747795,33.192982,L6,L5,.100,.250,GND,RF_FENCE
7.464953,32.910137,L6,L5,.100,.250,GND,RF_FENCE
7.182112,32.627296,L6,L5,.100,.250,GND,RF_FENCE
6.901787,32.341957,L6,L5,.100,.250,GND,RF_FENCE
10.535001,38.823999,L6,L5,.100,.250,GND,RF_FENCE
10.535001,38.424000,L6,L5,.100,.250,GND,RF_FENCE
10.535001,38.024001,L6,L5,.100,.250,GND,RF_FENCE
10.535001,37.624001,L6,L5,.100,.250,GND,RF_FENCE
10.535001,37.224002,L6,L5,.100,.250,GND,RF_FENCE
10.535001,36.824003,L6,L5,.100,.250,GND,RF_FENCE
10.535001,36.424004,L6,L5,.100,.250,GND,RF_FENCE
10.535001,36.024005,L6,L5,.100,.250,GND,RF_FENCE
10.535001,35.624005,L6,L5,.100,.250,GND,RF_FENCE
10.535001,35.224006,L6,L5,.100,.250,GND,RF_FENCE
10.498549,34.825671,L6,L5,.100,.250,GND,RF_FENCE
10.277488,34.492306,L6,L5,.100,.250,GND,RF_FENCE
9.994643,34.209464,L6,L5,.100,.250,GND,RF_FENCE
9.711802,33.926620,L6,L5,.100,.250,GND,RF_FENCE
9.428958,33.643778,L6,L5,.100,.250,GND,RF_FENCE
9.146116,33.360934,L6,L5,.100,.250,GND,RF_FENCE
8.863274,33.078092,L6,L5,.100,.250,GND,RF_FENCE
8.580432,32.795251,L6,L5,.100,.250,GND,RF_FENCE
8.297591,32.512409,L6,L5,.100,.250,GND,RF_FENCE
8.014749,32.229567,L6,L5,.100,.250,GND,RF_FENCE
6.074001,41.884999,L6,L5,.100,.250,GND,RF_FENCE
5.674002,41.884999,L6,L5,.100,.250,GND,RF_FENCE
5.274003,41.884999,L6,L5,.100,.250,GND,RF_FENCE
4.874003,41.884999,L6,L5,.100,.250,GND,RF_FENCE
4.474004,41.884999,L6,L5,.100,.250,GND,RF_FENCE
4.074005,41.884999,L6,L5,.100,.250,GND,RF_FENCE
3.680717,41.812027,L6,L5,.100,.250,GND,RF_FENCE
6.074001,41.014998,L6,L5,.100,.250,GND,RF_FENCE
5.674002,41.014998,L6,L5,.100,.250,GND,RF_FENCE
5.274003,41.014998,L6,L5,.100,.250,GND,RF_FENCE
11.650000,27.845438,L6,L5,.100,.250,GND,RF_FENCE
11.650000,27.445439,L6,L5,.100,.250,GND,RF_FENCE
11.756009,27.059743,L6,L5,.100,.250,GND,RF_FENCE
12.048287,26.786662,L6,L5,.100,.250,GND,RF_FENCE
12.439861,26.704999,L6,L5,.100,.250,GND,RF_FENCE
12.839860,26.704999,L6,L5,.100,.250,GND,RF_FENCE
13.239859,26.704999,L6,L5,.100,.250,GND,RF_FENCE
13.639858,26.704999,L6,L5,.100,.250,GND,RF_FENCE
14.039858,26.704999,L6,L5,.100,.250,GND,RF_FENCE
14.439857,26.704999,L6,L5,.100,.250,GND,RF_FENCE
14.839856,26.704999,L6,L5,.100,.250,GND,RF_FENCE
15.239855,26.704999,L6,L5,.100,.250,GND,RF_FENCE
12.520000,27.897437,L6,L5,.100,.250,GND,RF_FENCE
12.756723,27.575005,L6,L5,.100,.250,GND,RF_FENCE
13.156722,27.575005,L6,L5,.100,.250,GND,RF_FENCE
13.556722,27.575005,L6,L5,.100,.250,GND,RF_FENCE
13.956721,27.575005,L6,L5,.100,.250,GND,RF_FENCE
14.356720,27.575002,L6,L5,.100,.250,GND,RF_FENCE
14.756719,27.575002,L6,L5,.100,.250,GND,RF_FENCE
15.156718,27.575002,L6,L5,.100,.250,GND,RF_FENCE
15.628048,38.356769,L6,L5,.100,.250,GND,RF_FENCE
15.910890,38.073927,L6,L5,.100,.250,GND,RF_FENCE
15.965000,37.677603,L6,L5,.100,.250,GND,RF_FENCE
15.965000,37.277604,L6,L5,.100,.250,GND,RF_FENCE
15.965000,36.877605,L6,L5,.100,.250,GND,RF_FENCE
15.965000,36.477605,L6,L5,.100,.250,GND,RF_FENCE
15.965000,36.077606,L6,L5,.100,.250,GND,RF_FENCE
15.965000,35.677607,L6,L5,.100,.250,GND,RF_FENCE
16.621605,38.593570,L6,L5,.100,.250,GND,RF_FENCE
16.815544,38.243731,L6,L5,.100,.250,GND,RF_FENCE
16.835001,37.844204,L6,L5,.100,.250,GND,RF_FENCE
16.835001,37.444205,L6,L5,.100,.250,GND,RF_FENCE
16.835001,37.044206,L6,L5,.100,.250,GND,RF_FENCE
16.835001,36.644207,L6,L5,.100,.250,GND,RF_FENCE
16.835001,36.244207,L6,L5,.100,.250,GND,RF_FENCE
16.835001,35.844208,L6,L5,.100,.250,GND,RF_FENCE
16.835001,35.444209,L6,L5,.100,.250,GND,RF_FENCE
16.835001,49.871998,L6,L5,.100,.250,GND,RF_FENCE
16.835001,50.271997,L6,L5,.100,.250,GND,RF_FENCE
16.835001,50.671997,L6,L5,.100,.250,GND,RF_FENCE
16.831467,51.071981,L6,L5,.100,.250,GND,RF_FENCE
16.685450,51.444378,L6,L5,.100,.250,GND,RF_FENCE
16.366040,51.685162,L6,L5,.100,.250,GND,RF_FENCE
15.969158,51.734999,L6,L5,.100,.250,GND,RF_FENCE
15.569159,51.734999,L6,L5,.100,.250,GND,RF_FENCE
15.169159,51.734999,L6,L5,.100,.250,GND,RF_FENCE
14.769160,51.734999,L6,L5,.100,.250,GND,RF_FENCE
14.369161,51.734999,L6,L5,.100,.250,GND,RF_FENCE
13.969162,51.734999,L6,L5,.100,.250,GND,RF_FENCE
13.569163,51.734999,L6,L5,.100,.250,GND,RF_FENCE
13.169163,51.734999,L6,L5,.100,.250,GND,RF_FENCE
12.769164,51.734999,L6,L5,.100,.250,GND,RF_FENCE
12.369165,51.734999,L6,L5,.100,.250,GND,RF_FENCE
11.969166,51.734999,L6,L5,.100,.250,GND,RF_FENCE
11.569167,51.734999,L6,L5,.100,.250,GND,RF_FENCE
11.169338,51.723290,L6,L5,.100,.250,GND,RF_FENCE
10.809912,51.547753,L6,L5,.100,.250,GND,RF_FENCE
15.965000,49.871998,L6,L5,.100,.250,GND,RF_FENCE
15.965000,50.271997,L6,L5,.100,.250,GND,RF_FENCE
15.965000,50.671997,L6,L5,.100,.250,GND,RF_FENCE
15.614640,50.864994,L6,L5,.100,.250,GND,RF_FENCE
15.214641,50.864994,L6,L5,.100,.250,GND,RF_FENCE
14.814641,50.864994,L6,L5,.100,.250,GND,RF_FENCE
14.414642,50.864994,L6,L5,.100,.250,GND,RF_FENCE
