x_mm,y_mm,start_layer,stop_layer,drill_mm,land_mm,net,type
15.722427,42.550535,L6,L5,.100,.250,GND,RF_FENCE
15.323914,42.585000,L6,L5,.100,.250,GND,RF_FENCE
14.923915,42.585000,L6,L5,.100,.250,GND,RF_FENCE
14.523916,42.585000,L6,L5,.100,.250,GND,RF_FENCE
14.123916,42.585000,L6,L5,.100,.250,GND,RF_FENCE
13.723917,42.585000,L6,L5,.100,.250,GND,RF_FENCE
14.469427,41.714994,L6,L5,.100,.250,GND,RF_FENCE
14.069428,41.714997,L6,L5,.100,.250,GND,RF_FENCE
13.669429,41.714997,L6,L5,.100,.250,GND,RF_FENCE
10.565000,47.119438,L6,L5,.100,.250,GND,RF_FENCE
10.565000,46.719439,L6,L5,.100,.250,GND,RF_FENCE
10.565000,46.319440,L6,L5,.100,.250,GND,RF_FENCE
10.572504,45.919509,L6,L5,.100,.250,GND,RF_FENCE
10.735094,45.554044,L6,L5,.100,.250,GND,RF_FENCE
11.435001,47.159438,L6,L5,.100,.250,GND,RF_FENCE
11.435001,46.759439,L6,L5,.100,.250,GND,RF_FENCE
11.435001,46.359440,L6,L5,.100,.250,GND,RF_FENCE
8.065000,47.119438,L6,L5,.100,.250,GND,RF_FENCE
8.065000,46.719439,L6,L5,.100,.250,GND,RF_FENCE
8.065000,46.319440,L6,L5,.100,.250,GND,RF_FENCE
8.935001,47.139438,L6,L5,.100,.250,GND,RF_FENCE
8.935001,46.739439,L6,L5,.100,.250,GND,RF_FENCE
8.935001,46.339440,L6,L5,.100,.250,GND,RF_FENCE
8.930094,45.939471,L6,L5,.100,.250,GND,RF_FENCE
8.777572,45.569690,L6,L5,.100,.250,GND,RF_FENCE
6.899204,31.884021,L6,L5,.100,.250,GND,RF_FENCE
7.182046,32.166862,L6,L5,.100,.250,GND,RF_FENCE
7.464887,32.449704,L6,L5,.100,.250,GND,RF_FENCE
7.747729,32.732548,L6,L5,.100,.250,GND,RF_FENCE
8.030573,33.015390,L6,L5,.100,.250,GND,RF_FENCE
8.313415,33.298234,L6,L5,.100,.250,GND,RF_FENCE
8.596259,33.581076,L6,L5,.100,.250,GND,RF_FENCE
8.879101,33.863920,L6,L5,.100,.250,GND,RF_FENCE
9.161945,34.146762,L6,L5,.100,.250,GND,RF_FENCE
9.444787,34.429606,L6,L5,.100,.250,GND,RF_FENCE
9.727628,34.712448,L6,L5,.100,.250,GND,RF_FENCE
10.010470,34.995289,L6,L5,.100,.250,GND,RF_FENCE
10.293312,35.278131,L6,L5,.100,.250,GND,RF_FENCE
10.505275,35.617353,L6,L5,.100,.250,GND,RF_FENCE
10.535001,36.016247,L6,L5,.100,.250,GND,RF_FENCE
10.535001,36.416247,L6,L5,.100,.250,GND,RF_FENCE
10.535001,36.816246,L6,L5,.100,.250,GND,RF_FENCE
10.535001,37.216245,L6,L5,.100,.250,GND,RF_FENCE
10.535001,37.616244,L6,L5,.100,.250,GND,RF_FENCE
10.535001,38.016243,L6,L5,.100,.250,GND,RF_FENCE
10.535001,38.416243,L6,L5,.100,.250,GND,RF_FENCE
10.535001,38.816242,L6,L5,.100,.250,GND,RF_FENCE
5.704825,31.920007,L6,L5,.100,.250,GND,RF_FENCE
5.987666,32.202852,L6,L5,.100,.250,GND,RF_FENCE
6.270511,32.485693,L6,L5,.100,.250,GND,RF_FENCE
6.553352,32.768537,L6,L5,.100,.250,GND,RF_FENCE
6.836197,33.051379,L6,L5,.100,.250,GND,RF_FENCE
7.119038,33.334223,L6,L5,.100,.250,GND,RF_FENCE
7.401880,33.617065,L6,L5,.100,.250,GND,RF_FENCE
7.684722,33.899907,L6,L5,.100,.250,GND,RF_FENCE
7.967563,34.182748,L6,L5,.100,.250,GND,RF_FENCE
8.250405,34.465590,L6,L5,.100,.250,GND,RF_FENCE
8.533247,34.748432,L6,L5,.100,.250,GND,RF_FENCE
8.816089,35.031274,L6,L5,.100,.250,GND,RF_FENCE
9.098930,35.314115,L6,L5,.100,.250,GND,RF_FENCE
9.381772,35.596957,L6,L5,.100,.250,GND,RF_FENCE
9.664614,35.879799,L6,L5,.100,.250,GND,RF_FENCE
9.665000,36.279798,L6,L5,.100,.250,GND,RF_FENCE
9.665000,36.679797,L6,L5,.100,.250,GND,RF_FENCE
9.665000,37.079796,L6,L5,.100,.250,GND,RF_FENCE
9.665000,37.479795,L6,L5,.100,.250,GND,RF_FENCE
9.665000,37.879795,L6,L5,.100,.250,GND,RF_FENCE
9.665000,38.279794,L6,L5,.100,.250,GND,RF_FENCE
9.665000,38.679793,L6,L5,.100,.250,GND,RF_FENCE
5.030574,41.014993,L6,L5,.100,.250,GND,RF_FENCE
